Config,FM ID,First Name,Second Name,Name,Permanent Club ID,Permanent Club Name,Based Club ID,Based Club Name,Loan Club ID,Loan Club Name,Date Of Birth,Nationality ID,Nationality Name,Second Nationality ID,Second Nationality Name,Third Nationality ID,Third Nationality Name,City Of Birth ID,City Of Birth Name,GK,DL,DC,DR,WBL,WBR,DM,MC,ML,MR,AML,AMC,AMR,SC,Current Ability,Potential Ability,Left Foot,Right Foot,NFE,Squad Number
"[{""a"":""Person"",""m"":""Person"",""k"":1151250,""r"":1151250},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":5228453,""r"":1151250},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":939072,""r"":1151250},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":939080,""r"":1151250}]",2000074099,Chaouki,Ben Khader,Chaouki Ben Khader,90898,Club Sportif Sfaxien,90898,Club Sportif Sfaxien,,,2001-02-08,1248894,Tunisia,,,,,,,,7,20,10,,,,,,,,,,,100,115,6,20,,
"[{""a"":""Person"",""m"":""Person"",""k"":1156767,""r"":1156767},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":5450914,""r"":1156767},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":943716,""r"":1156767},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":943724,""r"":1156767}]",2000079464,Hichem,Baccar,Hichem Baccar,90898,Club Sportif Sfaxien,90898,Club Sportif Sfaxien,,,2001-05-23,1248894,Tunisia,,,,,,,,20,16,,12,,,,12,8,10,,8,,105,130,20,6,,
"[{""a"":""Person"",""m"":""Person"",""k"":1182180,""r"":1182180},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":966311,""r"":1182180},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":966308,""r"":1182180},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":966317,""r"":1182180}]",2000104343,Mohamed,Dhaoui,Mohamed Dhaoui,90881,Al-Ahly Sporting Club,90898,Club Sportif Sfaxien,90898,Club Sportif Sfaxien,2003-05-14,1248894,Tunisia,,,,,39978,Sousse,,,,,,,,8,12,16,14,12,20,9,102,130,20,7,,18
"[{""a"":""Person"",""m"":""Person"",""k"":1182180,""r"":1182180},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":5424185,""r"":1182180},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":966308,""r"":1182180},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":966317,""r"":1182180}]",2000104343,Mohamed,Dhaoui,Mohamed Dhaoui,90881,Al-Ahly Sporting Club,90898,Club Sportif Sfaxien,90898,Club Sportif Sfaxien,2003-05-14,1248894,Tunisia,,,,,39978,Sousse,,,,,,,,8,12,16,14,12,20,9,102,130,20,7,,
"[{""a"":""Person"",""m"":""Person"",""k"":1184872,""r"":1184872},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":968753,""r"":1184872},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":968750,""r"":1184872},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":968759,""r"":1184872}]",2000107035,Amine Allah,Haboubi,Amine Haboubi (Amine Allah Haboubi),90898,Club Sportif Sfaxien,90898,Club Sportif Sfaxien,,,2002-04-29,1248894,Tunisia,,,,,,,,,,,,,,,,,13,9,12,20,97,110,11,20,,7
"[{""a"":""Person"",""m"":""Person"",""k"":1195747,""r"":1195747},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":978239,""r"":1195747},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":978236,""r"":1195747},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":978245,""r"":1195747}]",2000117866,Mohamed,Nasraoui,Mohamed Nasraoui,90898,Club Sportif Sfaxien,90898,Club Sportif Sfaxien,,,2002-08-18,1248894,Tunisia,,,,,39979,Sfax,,,20,10,,8,,,,,,,,,110,125,6,20,,3
"[{""a"":""Person"",""m"":""Person"",""k"":1195749,""r"":1195749},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":978241,""r"":1195749},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":978238,""r"":1195749},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":978247,""r"":1195749}]",2000117868,Saber,Soudeni,Saber Soudeni,90898,Club Sportif Sfaxien,90898,Club Sportif Sfaxien,,,2002-05-08,1248894,Tunisia,,,,,39979,Sfax,,10,20,12,,,10,,,,,,,,85,105,5,20,,
"[{""a"":""Person"",""m"":""Person"",""k"":1244713,""r"":1244713},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":5484457,""r"":1244713},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":1020477,""r"":1244713},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":1020486,""r"":1244713}]",2000165289,Rayen,Derbali,Rayen Derbali,90898,Club Sportif Sfaxien,90898,Club Sportif Sfaxien,,,2002-12-19,1248894,Tunisia,,,,,,,,8,9,20,8,17,,,,10,,,,,95,115,6,20,,
"[{""a"":""Person"",""m"":""Person"",""k"":1265712,""r"":1265712},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":5373869,""r"":1265712},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":1039136,""r"":1265712},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":1039145,""r"":1265712}]",2000186138,Mohamed,Trabelsi,Mohamed Trabelsi,90898,Club Sportif Sfaxien,90898,Club Sportif Sfaxien,,,,1248894,Tunisia,,,,,,,,,,,,,15,20,,,,10,,,85,110,,20,,
"[{""a"":""Person"",""m"":""Person"",""k"":1265919,""r"":1265919},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":5252436,""r"":1265919},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":1039336,""r"":1265919},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":1039345,""r"":1265919}]",2000186345,Khalil,Elloumi,Khalil Elloumi,90898,Club Sportif Sfaxien,90898,Club Sportif Sfaxien,,,2004-04-26,1248894,Tunisia,,,,,,,,11,,,12,,,14,12,12,18,17,20,,88,115,20,7,,
"[{""a"":""Person"",""m"":""Person"",""k"":1267072,""r"":1267072},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":1040431,""r"":1267072},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":1040428,""r"":1267072},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":1040437,""r"":1267072}]",2000187497,Adem,Msalmi,Adem Msalmi,90898,Club Sportif Sfaxien,90898,Club Sportif Sfaxien,,,2002-05-27,1248894,Tunisia,,,,,,,,20,14,,,,,,,,,,,,80,100,20,5,,
"[{""a"":""Person"",""m"":""Person"",""k"":1270860,""r"":1270860},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":1043673,""r"":1270860},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":1043670,""r"":1270860},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":1043679,""r"":1270860}]",2000191273,Baraket,Hmidi,Baraket Hmidi,90898,Club Sportif Sfaxien,90898,Club Sportif Sfaxien,,,2003-02-01,1248894,Tunisia,,,,,53288,Gabès,,,,,8,,,,16,12,20,11,17,14,102,120,20,5,,27
"[{""a"":""Person"",""m"":""Person"",""k"":1277260,""r"":1277260},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":5789573,""r"":1277260},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":1049710,""r"":1277260},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":1049719,""r"":1277260}]",2000197639,Youssef,Becha,Youssef Becha,90898,Club Sportif Sfaxien,90898,Club Sportif Sfaxien,,,2005-04-13,1248894,Tunisia,,,,,,,,,,,,,,,15,,20,15,15,,95,130,9,20,,20
"[{""a"":""Person"",""m"":""Person"",""k"":1277272,""r"":1277272},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":1049725,""r"":1277272},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":1049722,""r"":1277272},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":1049731,""r"":1277272}]",2000197651,Jasser,Maaroufi,Jasser Maaroufi,90898,Club Sportif Sfaxien,90898,Club Sportif Sfaxien,,,2003-03-02,1248894,Tunisia,,,,,,,,,,,,,16,20,,,,,,,83,105,,20,,
"[{""a"":""Person"",""m"":""Person"",""k"":1327620,""r"":1327620},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":1096897,""r"":1327620},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":1096896,""r"":1327620},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":1096904,""r"":1327620}]",2000247661,Omar,Ben Ali,Omar Ben Ali,90898,Club Sportif Sfaxien,90898,Club Sportif Sfaxien,,,2005-04-22,1248894,Tunisia,,,,,,,,,,,,,,,,,,8,12,20,90,115,20,8,,
"[{""a"":""Person"",""m"":""Person"",""k"":1327656,""r"":1327656},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":1096933,""r"":1327656},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":1096932,""r"":1327656},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":1096940,""r"":1327656}]",2000247690,Mohamed Aziz,Sekrafi,Mohamed Aziz Sekrafi,90898,Club Sportif Sfaxien,90898,Club Sportif Sfaxien,,,2004-01-06,1248894,Tunisia,,,,,48639,Djerba,,10,,,10,,5,16,11,15,12,15,20,,90,110,20,5,,
"[{""a"":""Person"",""m"":""Person"",""k"":1327667,""r"":1327667},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":1096944,""r"":1327667},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":1096943,""r"":1327667},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":1096951,""r"":1327667}]",2000247701,Balla Moussa,Conté,Balla Moussa Conté,90898,Club Sportif Sfaxien,90898,Club Sportif Sfaxien,,,2004-04-15,1248760,Guinea,,,,,,,,,,,,,16,20,,,,10,,,105,130,10,20,,35
"[{""a"":""Person"",""m"":""Person"",""k"":1327668,""r"":1327668},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":1096945,""r"":1327668},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":1096944,""r"":1327668},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":1096952,""r"":1327668}]",2000247702,Ahmed,Ajjal,Ahmed Ajjal,90898,Club Sportif Sfaxien,90898,Club Sportif Sfaxien,,,2003-02-19,1248894,Tunisia,,,,,,,,5,20,18,,13,10,,,,,,,,85,110,7,20,,32
"[{""a"":""Person"",""m"":""Person"",""k"":1334246,""r"":1334246},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":5484458,""r"":1334246},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":1104326,""r"":1334246},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":1103334,""r"":1334246}]",2000254249,Mohamed,Absi,Mohamed Absi,90898,Club Sportif Sfaxien,90898,Club Sportif Sfaxien,,,2004-06-13,1248894,Tunisia,,,,,,,,,,,,,12,20,9,,,17,,,90,120,7,20,,
"[{""a"":""Person"",""m"":""Person"",""k"":1365624,""r"":1365624},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":1129078,""r"":1365624},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":1130076,""r"":1365624},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":1129086,""r"":1365624}]",2000284769,Mohamed Mehdi,Kachouri,Mohamed Mehdi Kachouri,90898,Club Sportif Sfaxien,90898,Club Sportif Sfaxien,,,2004-09-05,1248894,Tunisia,,,,,,,,,,,,,,,,,12,12,12,20,85,105,7,20,,
"[{""a"":""Person"",""m"":""Person"",""k"":1401083,""r"":1401083},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":5178444,""r"":1401083},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":1162059,""r"":1401083},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":1161083,""r"":1401083}]",2000320025,Ayoub,Saidi,Ayoub Saidi,90898,Club Sportif Sfaxien,90898,Club Sportif Sfaxien,,,2005-08-08,1248894,Tunisia,,,,,,,20,,,,,,,,,,,,,,75,-55,,,,
"[{""a"":""Person"",""m"":""Person"",""k"":1402978,""r"":1402978},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":5472673,""r"":1402978},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":1163751,""r"":1402978},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":1162775,""r"":1402978}]",2000321916,Mohamed Ali,Jemaya,Mohamed Ali Jemaya,90898,Club Sportif Sfaxien,90898,Club Sportif Sfaxien,,,2003-11-06,1248894,Tunisia,,,,,,,20,,,,,,,,,,,,,,77,95,,,,
"[{""a"":""Person"",""m"":""Person"",""k"":1402979,""r"":1402979},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":5185185,""r"":1402979},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":1163752,""r"":1402979},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":1162776,""r"":1402979}]",2000321917,Hazem,Walha,Hazem Walha,90898,Club Sportif Sfaxien,90898,Club Sportif Sfaxien,,,2005-06-20,1248894,Tunisia,,,,,,,20,,,,,,,,,,,,,,70,-55,,,,
"[{""a"":""Person"",""m"":""Person"",""k"":1402981,""r"":1402981},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":5185187,""r"":1402981},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":1163754,""r"":1402981},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":1162778,""r"":1402981}]",2000321919,Mohamed Amine,Jemmali,Mohamed Amine Jemmali,90898,Club Sportif Sfaxien,90898,Club Sportif Sfaxien,,,2002-06-23,1248894,Tunisia,,,,,1158763,Agareb,20,,,,,,,,,,,,,,80,105,,,,
"[{""a"":""Person"",""m"":""Person"",""k"":1402984,""r"":1402984},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":5185190,""r"":1402984},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":1163757,""r"":1402984},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":1162781,""r"":1402984}]",2000321922,Mohamed,Karray,Mohamed Karray,90898,Club Sportif Sfaxien,90898,Club Sportif Sfaxien,,,2002-03-14,1248894,Tunisia,,,,,,,20,,,,,,,,,,,,,,78,100,,,,
"[{""a"":""Person"",""m"":""Person"",""k"":1402987,""r"":1402987},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":5533307,""r"":1402987},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":1163760,""r"":1402987},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":1162784,""r"":1402987}]",2000321925,Youssef,Habchia,Youssef Habchia,90898,Club Sportif Sfaxien,90898,Club Sportif Sfaxien,,,2003-02-22,1248894,Tunisia,,,,,,,,8,5,20,,12,5,,,8,,,,,82,105,,20,,
"[{""a"":""Person"",""m"":""Person"",""k"":1402988,""r"":1402988},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":5185195,""r"":1402988},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":1163761,""r"":1402988},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":1162785,""r"":1402988}]",2000321926,Rayane,Chaabane,Rayane Chaabane,90898,Club Sportif Sfaxien,90898,Club Sportif Sfaxien,,,2006-01-30,1248894,Tunisia,,,,,,,,,,20,,17,,5,8,8,10,12,10,,78,-65,,20,,
"[{""a"":""Person"",""m"":""Person"",""k"":1402989,""r"":1402989},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":5185198,""r"":1402989},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":1163762,""r"":1402989},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":1162786,""r"":1402989}]",2000321927,Montassar,Ammar,Montassar Ammar,90898,Club Sportif Sfaxien,90898,Club Sportif Sfaxien,,,2005-08-05,1248894,Tunisia,,,,,,,,,20,,,,,,,,,,,,75,-6,,,,
"[{""a"":""Person"",""m"":""Person"",""k"":1402990,""r"":1402990},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":5185199,""r"":1402990},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":1163763,""r"":1402990},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":1162787,""r"":1402990}]",2000321928,Hedi,Hentati,Hedi Hentati,90898,Club Sportif Sfaxien,90898,Club Sportif Sfaxien,,,2005-01-06,1248894,Tunisia,,,,,,,,,20,,,,,,,,,,,,70,-5,,,,
"[{""a"":""Person"",""m"":""Person"",""k"":1402991,""r"":1402991},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":5552875,""r"":1402991},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":1163764,""r"":1402991},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":1162788,""r"":1402991}]",2000321929,Ayoub,Farroukh,Ayoub Farroukh,90898,Club Sportif Sfaxien,90898,Club Sportif Sfaxien,,,,1248894,Tunisia,,,,,,,,,20,,,,8,,,,,,,,78,95,,20,,
"[{""a"":""Person"",""m"":""Person"",""k"":1402992,""r"":1402992},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":5714209,""r"":1402992},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":1163765,""r"":1402992},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":1162789,""r"":1402992}]",2000321930,Mohamed Amine,Ben Ali,Mohamed Amine Ben Ali,90898,Club Sportif Sfaxien,90898,Club Sportif Sfaxien,,,2004-01-16,1248894,Tunisia,,,,,,,,13,20,,12,,,,,,,,,,79,105,20,,,
"[{""a"":""Person"",""m"":""Person"",""k"":1402996,""r"":1402996},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":5185210,""r"":1402996},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":1163769,""r"":1402996},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":1162793,""r"":1402996}]",2000321934,Fabien,Winley,Fabien Winley,90898,Club Sportif Sfaxien,90898,Club Sportif Sfaxien,,,2002-12-20,1248776,Ivory Coast,,,,,54354,Dabou,,,,,7,9,,,11,12,20,5,17,15,103,130,8,20,,
"[{""a"":""Person"",""m"":""Person"",""k"":1403007,""r"":1403007},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":5185223,""r"":1403007},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":1163780,""r"":1403007},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":1162804,""r"":1403007}]",2000321945,Haythem,Rebii,Haythem Rebii,90898,Club Sportif Sfaxien,90898,Club Sportif Sfaxien,,,,1248894,Tunisia,,,,,,,,,,,,,,,,,,,,20,70,-55,,20,,
"[{""a"":""Person"",""m"":""Person"",""k"":1403010,""r"":1403010},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":5185226,""r"":1403010},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":1163783,""r"":1403010},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":1162807,""r"":1403010}]",2000321948,Mohamed Amine,Jrad,Mohamed Amine Jrad,90898,Club Sportif Sfaxien,90898,Club Sportif Sfaxien,,,2004-02-05,1248894,Tunisia,,,,,,,,,,,,,,,,,,,,20,75,100,20,,,
"[{""a"":""Person"",""m"":""Person"",""k"":1403014,""r"":1403014},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":5185230,""r"":1403014},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":1163787,""r"":1403014},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":1162811,""r"":1403014}]",2000321952,Raslen,Dhibi,Raslen Dhibi,90898,Club Sportif Sfaxien,90898,Club Sportif Sfaxien,,,,1248894,Tunisia,,,,,,,,,,,,,10,20,,,,8,,,65,-55,,,,
"[{""a"":""Person"",""m"":""Person"",""k"":1403015,""r"":1403015},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":5185231,""r"":1403015},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":1163788,""r"":1403015},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":1162812,""r"":1403015}]",2000321953,Mohamed Islam,Guesmi,Mohamed Islam Guesmi,90898,Club Sportif Sfaxien,90898,Club Sportif Sfaxien,,,2004-12-19,1248894,Tunisia,,,,,,,,,,,,,12,20,10,8,8,13,5,,85,105,8,20,,
